sentence,label,wc,sscore,nega,prosing,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
however he is just not as safe as me,No,9,-0.25,0,11.11111111,1,1,58.07,99,9,11.11,100,88.89,22.22,22.22,11.11,0,0,11.11,0,0,0,22.22,11.11,22.22,33.33,11.11,11.11,33.33,22.22,0,0,0,11.11,11.11,0,0,0,0,11.11,0,0,0,11.11,22.22,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but the vaccine scare is a different story,No,8,-0.596621347,12.5,0,93.26,10.58,74.76,1,8,25,87.5,50,0,0,0,0,0,0,0,0,25,0,12.5,0,12.5,0,12.5,12.5,12.5,0,0,0,12.5,0,12.5,12.5,0,0,12.5,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
need to unplug but honestly just so frustrated,No,8,-0.596621347,12.5,0,11.86,10.58,1,25.77,8,25,87.5,50,0,0,0,0,0,0,0,0,0,12.5,0,25,25,0,12.5,0,0,0,0,0,25,12.5,12.5,0,12.5,0,0,0,0,0,0,25,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i do not like to say mostly normal because it bugs the hell out of me,No,16,-0.575,12.5,12.5,84.62,9.13,43.37,25.77,15,13.33,86.67,60,20,13.33,13.33,0,0,0,0,6.67,6.67,20,0,6.67,6.67,0,6.67,6.67,0,0,0,0,13.33,6.67,6.67,0,6.67,0,6.67,0,0,0,0,13.33,0,6.67,0,6.67,0,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,6.67,0,6.67,0,0,0,0,0,6.67,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i am angry at myself because i do not feel motivated the way i used to and i have got exams at the end of the year and it all feels too much,No,33,-0.565752382,6.060606061,15.15151515,49.25,1.75,99,1.59,33,6.06,100,63.64,18.18,15.15,15.15,0,0,0,0,3.03,9.09,12.12,9.09,3.03,9.09,3.03,21.21,3.03,0,0,0,6.06,3.03,0,3.03,0,3.03,0,0,0,0,0,0,21.21,9.09,9.09,0,0,3.03,3.03,6.06,0,0,6.06,0,0,0,0,0,6.06,0,3.03,0,3.03,0,6.06,15.15,0,15.15,0,9.09,6.06,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i miss seeing people i love and doing the most mundane things,No,12,-0.591784026,16.66666667,16.66666667,18.82,50,23.51,25.77,12,8.33,91.67,50,25,16.67,16.67,0,0,0,0,8.33,8.33,0,8.33,0,8.33,0,25,8.33,8.33,0,0,8.33,16.67,8.33,8.33,0,0,8.33,16.67,0,0,0,0,8.33,0,0,0,8.33,0,0,8.33,8.33,0,0,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i live in a household where people have more health issues that raise a risk of covid being worse for them,No,21,-0.589188304,14.28571429,4.761904762,87.62,68.29,13.15,1,21,4.76,85.71,52.38,14.29,9.52,4.76,0,0,0,4.76,4.76,9.52,14.29,9.52,4.76,0,0,14.29,9.52,9.52,4.76,0,4.76,9.52,0,9.52,4.76,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,0,9.52,0,0,9.52,0,0,0,0,9.52,0,14.29,0,9.52,0,9.52,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i take walks in the neighborhood almost every day it is not like i am a shutin but staying out too long makes me feel weird,No,26,-0.588348405,7.692307692,11.53846154,54.88,2.76,99,1,26,7.69,96.15,57.69,15.38,11.54,11.54,0,0,0,0,3.85,7.69,11.54,7.69,7.69,3.85,3.85,26.92,3.85,3.85,0,0,3.85,3.85,0,3.85,0,0,0,3.85,0,3.85,0,0,23.08,3.85,3.85,0,3.85,3.85,7.69,3.85,0,0,3.85,0,0,0,0,0,7.69,3.85,0,0,3.85,0,0,23.08,0,26.92,7.69,19.23,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i am introverted but the lack of socialising feels like it is messing with my brain,No,16,-0.546875,12.5,12.5,72.69,3.05,35.37,25.77,16,18.75,81.25,62.5,18.75,12.5,12.5,0,0,0,0,6.25,6.25,18.75,12.5,0,6.25,0,25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,6.25,0,6.25,0,0,6.25,6.25,0,0,6.25,6.25,6.25,0,0,0,6.25,0,0,0,0,6.25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
everything about this pandemic has made me so angry,No,9,-0.583333333,22.22222222,11.11111111,1,50,4.97,1,9,22.22,88.89,66.67,33.33,11.11,11.11,0,0,0,0,22.22,0,11.11,11.11,22.22,11.11,0,22.22,11.11,0,0,0,0,11.11,0,11.11,0,11.11,0,11.11,0,0,0,0,22.22,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
also to make matters worse i lost most of my friends through this,No,13,-0.582435206,15.38461538,15.38461538,65.46,22.08,17.46,1,13,23.08,92.31,53.85,23.08,15.38,15.38,0,0,0,0,7.69,0,23.08,0,7.69,7.69,0,15.38,15.38,15.38,0,0,7.69,15.38,0,15.38,0,0,7.69,7.69,0,7.69,0,0,15.38,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,7.69,0,0,7.69,7.69,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do you think the test result would have said incomplete or inconclusive if i did it wrong?,No,17,-0.5820855,17.64705882,11.76470588,3.12,50,6.2,1,17,11.76,94.12,58.82,17.65,11.76,5.88,0,5.88,0,0,5.88,5.88,0,23.53,0,11.76,0,35.29,5.88,0,0,0,0,5.88,0,5.88,0,0,0,11.76,0,0,0,0,35.29,5.88,5.88,11.76,17.65,0,11.76,5.88,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,5.88,11.76,17.65,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,5.88,0,0,0,0,0,0
saturday i had a wall of tiredness and a sore arm less so than a flu shot,No,17,-0.5820855,23.52941176,5.882352941,93.26,11.97,66.34,25.77,17,11.76,88.24,52.94,5.88,5.88,5.88,0,0,0,0,0,17.65,11.76,5.88,5.88,11.76,0,5.88,17.65,11.76,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,5.88,0,0,0,0,17.65,5.88,11.76,0,0,0,0,0,0,0,0,5.88,0,0,11.76,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it feels like i am being forced to relive the same day with each iteration getting more and more boring,No,20,-0.581377674,10,5,87.27,30.86,15.86,1,20,10,90,45,10,5,5,0,0,0,0,5,5,15,10,0,5,0,20,20,20,0,0,15,5,0,5,0,0,0,0,0,0,0,0,10,5,5,0,0,0,0,5,0,0,5,0,0,0,0,0,10,0,0,5,5,0,0,10,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i have been seeing all you struggling the same way and some are suffering worse,No,15,-0.580947502,20,13.33333333,18.82,74.76,10.08,1,15,13.33,100,46.67,13.33,13.33,6.67,0,6.67,0,0,0,6.67,0,20,0,6.67,0,33.33,13.33,13.33,0,0,13.33,20,0,20,6.67,0,6.67,6.67,0,0,0,0,13.33,0,0,0,6.67,6.67,0,6.67,6.67,0,0,0,0,0,0,0,13.33,0,0,6.67,0,6.67,6.67,20,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i am morbidly obese 510 and 285 lbs and am on medication for mildly elevated blood pressure,No,15,-0.580947502,20,6.666666667,59.32,27.83,6.2,1,17,23.53,64.71,41.18,5.88,5.88,5.88,0,0,0,0,0,0,11.76,11.76,0,11.76,0,11.76,0,0,0,11.76,0,5.88,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,5.88,11.76,0,5.88,0,0,0,0,0,0,0,11.76,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i miss that,No,3,-0.577350269,33.33333333,33.33333333,1,1,98.01,1,3,0,100,66.67,66.67,33.33,33.33,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
he is gonna say i am overreacting and that im doing too much,No,13,-0.554700196,7.692307692,7.692307692,1,50,17.46,25.77,13,7.69,92.31,69.23,30.77,23.08,15.38,0,0,7.69,0,7.69,0,0,30.77,7.69,7.69,0,46.15,0,0,0,0,7.69,0,0,0,0,0,0,15.38,0,0,0,7.69,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,7.69,7.69,7.69,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sorry rant over,No,3,-0.577350269,66.66666667,0,99,50,98.01,1,3,0,66.67,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relocatinggiven the pandemic?,No,3,-0.577350269,33.33333333,0,99,50,1,25.77,3,66.67,33.33,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0
i miss touch,No,3,-0.577350269,33.33333333,33.33333333,18.82,1,98.01,1,3,0,100,33.33,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anyway just ranting,No,3,-0.577350269,33.33333333,0,1,50,1,25.77,3,33.33,66.67,66.67,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0
travel is forbidden,No,3,-0.577350269,33.33333333,0,18.82,50,98.01,1,3,33.33,100,33.33,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,66.67,33.33,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,66.67,0,33.33,33.33,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i miss living,No,3,-0.577350269,33.33333333,33.33333333,18.82,1,98.01,1,3,0,100,33.33,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
did i overreact?,No,3,-0.577350269,33.33333333,33.33333333,1,1,98.01,25.77,3,33.33,66.67,66.67,33.33,33.33,33.33,0,0,0,0,0,0,0,33.33,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0
it is just discouraging,No,4,-0.5,25,0,1,50,1,1,4,25,100,75,25,0,0,0,0,0,0,25,0,0,25,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
would you still listen to the news to see how the virus is doing globally or would you just return to normal and not care because of so much exhaustion and ptsd from the pandemic?,No,35,-0.574704893,8.571428571,5.714285714,36.68,71.61,1.94,25.77,35,11.43,88.57,65.71,5.71,5.71,0,0,5.71,0,0,0,8.57,14.29,11.43,11.43,17.14,2.86,20,2.86,0,2.86,0,2.86,5.71,2.86,2.86,0,0,0,8.57,0,0,0,0,17.14,0,5.71,5.71,2.86,0,5.71,5.71,2.86,2.86,0,2.86,0,2.86,0,0,0,0,0,0,0,0,0,11.43,0,8.57,0,2.86,5.71,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,2.86,0,0,0,0,0,0
i just can not imagine going back to school as i have very bad social anxiety to begin with trying to make friends again when all of this is over seems almost impossible,No,33,-0.565752382,9.090909091,6.060606061,40.71,27.23,93.94,1,33,12.12,100,60.61,9.09,6.06,6.06,0,0,0,0,3.03,0,21.21,9.09,18.18,6.06,3.03,21.21,6.06,3.03,3.03,0,3.03,6.06,0,6.06,3.03,0,0,6.06,0,3.03,0,0,24.24,6.06,3.03,3.03,9.09,3.03,3.03,0,0,0,0,0,0,0,0,0,15.15,6.06,3.03,3.03,0,3.03,0,18.18,3.03,18.18,3.03,6.06,12.12,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i start having a full blown panic attack thinking this means i got covid from the person in the line,No,20,-0.570197334,15,10,96.79,30.86,99,1,20,5,85,45,15,10,10,0,0,0,0,5,15,10,5,0,0,0,25,5,0,0,0,0,10,0,10,5,5,0,5,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,5,0,5,10,0,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
one of the symptoms i could suffer depending on which way things go is fever,No,15,-0.568037557,26.66666667,6.666666667,70.69,25.24,43.37,1,15,13.33,100,53.33,20,6.67,6.67,0,0,0,0,13.33,6.67,13.33,13.33,0,0,0,26.67,0,0,6.67,6.67,0,6.67,0,6.67,0,0,6.67,0,0,0,0,0,13.33,0,6.67,6.67,6.67,0,0,0,0,0,0,13.33,0,13.33,0,0,0,0,0,0,0,0,0,20,0,20,6.67,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i am also thinking this is a cognitive decline of some sorts due to heavy isolation and limited interaction with the outside,No,22,-0.554321863,13.63636364,4.545454545,87.93,50,31.94,1,22,31.82,90.91,54.55,9.09,4.55,4.55,0,0,0,0,4.55,9.09,18.18,9.09,4.55,9.09,0,13.64,4.55,0,0,0,4.55,4.55,0,4.55,0,0,4.55,4.55,0,0,0,0,13.64,4.55,0,0,9.09,0,0,4.55,0,0,4.55,0,0,0,0,0,9.09,4.55,4.55,0,0,0,0,9.09,0,9.09,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i hate seeing all the bad news,No,7,-0.56694671,28.57142857,14.28571429,93.26,7.67,13.15,1,7,0,85.71,28.57,14.29,14.29,14.29,0,0,0,0,0,14.29,0,0,0,0,0,28.57,0,0,0,0,14.29,28.57,0,28.57,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,14.29,14.29,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i am on medication for depression and anxiety,No,8,-0.530330086,25,12.5,72.69,10.58,74.76,1,8,37.5,100,62.5,12.5,12.5,12.5,0,0,0,0,0,0,25,12.5,0,12.5,0,12.5,0,0,0,0,0,25,0,25,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it adds to my depression and anxiety,No,7,-0.56694671,28.57142857,14.28571429,29.3,7.67,13.15,1,7,28.57,100,57.14,28.57,14.29,14.29,0,0,0,0,14.29,0,14.29,0,0,14.29,0,0,0,0,0,0,14.29,28.57,0,28.57,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this pandemic has been difficult for everyone,No,7,-0.56694671,28.57142857,0,5.89,92.33,1,1,7,42.86,85.71,71.43,28.57,0,0,0,0,0,0,28.57,0,14.29,28.57,0,0,0,28.57,14.29,0,0,0,0,14.29,0,14.29,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the tears have stopped but my eyes still burn,No,9,-0.5668,33.33333333,11.11111111,18.82,1.38,99,1,9,11.11,100,55.56,11.11,11.11,11.11,0,0,0,0,0,11.11,0,11.11,11.11,11.11,0,33.33,0,0,0,0,0,11.11,0,11.11,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,11.11,22.22,11.11,0,11.11,11.11,11.11,0,0,0,11.11,0,0,0,0,11.11,11.11,11.11,0,22.22,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it is only march and we already are delayed plenty of time for more delays,No,15,-0.565455569,13.33333333,0,18.82,90.87,98.01,25.77,15,13.33,100,60,13.33,6.67,0,6.67,0,0,0,6.67,0,13.33,13.33,13.33,6.67,0,13.33,6.67,6.67,0,0,13.33,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,6.67,13.33,0,33.33,0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but apparently i do not care about people who passed away of covid despite almost losing my aunt to it if wanting to be with people i love makes me a shit person then i am a peice of shit and i am already in my own hell,No,48,-0.562916512,8.333333333,14.58333333,44.42,3.05,91.31,1,48,8.33,93.75,66.67,18.75,14.58,14.58,0,0,0,0,4.17,4.17,18.75,8.33,8.33,8.33,2.08,18.75,0,0,2.08,0,0,12.5,4.17,8.33,0,6.25,2.08,12.5,2.08,0,2.08,0,16.67,0,2.08,4.17,6.25,0,8.33,0,0,0,0,6.25,4.17,0,0,0,4.17,2.08,2.08,0,0,2.08,4.17,12.5,2.08,10.42,2.08,4.17,4.17,0,0,0,0,2.08,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but i am panicking,No,4,-0.5625,25,25,1,1,99,1,4,25,100,75,25,25,25,0,0,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,25,0,25,25,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i know it will not be this way but i was hoping for an almost postwar ambiance,No,17,-0.545705156,5.882352941,11.76470588,3.12,1,91.95,98.87,17,11.76,88.24,70.59,23.53,11.76,11.76,0,0,0,0,11.76,5.88,5.88,17.65,5.88,5.88,5.88,29.41,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,29.41,5.88,0,5.88,11.76,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,11.76,11.76,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
we unemployed parents have no voice in getting considered and no hope anyone will look out for us or our depressed confined online schooled kids,No,25,-0.55,12,0,30.73,99,6.7,25.77,25,28,88,52,16,12,0,12,0,0,0,4,0,12,8,0,8,8,24,0,0,0,0,0,8,4,4,0,0,4,24,4,0,0,0,16,4,0,4,12,0,4,8,4,4,0,0,0,0,0,0,20,16,0,0,4,0,0,12,8,8,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my dad has been battling this stupid virus in the hospital since jan 5th,No,14,-0.561248608,21.42857143,7.142857143,83.81,50,52.86,1,14,14.29,78.57,50,14.29,7.14,7.14,0,0,0,0,7.14,7.14,14.29,14.29,0,0,0,14.29,7.14,0,0,0,0,14.29,0,14.29,0,14.29,0,7.14,7.14,0,0,7.14,7.14,0,7.14,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,7.14,0,0,7.14,0,0,7.14,7.14,0,14.29,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i do not really miss the snow and how gross and unmanageable it gets all winter long but randomly throughout the day these images come to mind and i just burst into tears,No,33,-0.550520587,15.15151515,6.060606061,32.58,3.48,93.94,1,33,9.09,87.88,54.55,12.12,6.06,6.06,0,0,0,0,6.06,6.06,9.09,3.03,9.09,15.15,3.03,12.12,3.03,0,3.03,0,3.03,9.09,0,9.09,0,0,6.06,0,0,0,0,0,18.18,0,3.03,0,3.03,3.03,9.09,3.03,3.03,0,0,0,0,0,0,0,3.03,0,0,0,3.03,0,0,12.12,0,15.15,3.03,6.06,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
am i being overly vigilant?,No,5,-0.559016994,20,20,1,2.31,43.37,25.77,5,20,80,60,20,20,20,0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0
anyway i have ranted enough,No,5,-0.559016994,40,20,1,2.31,43.37,25.77,5,0,60,60,20,20,20,0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
no anger no sadness nothing,No,5,-0.559016994,40,0,1,1,1,1,5,40,100,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,40,0,40,0,20,20,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but this irritation and anger at everything is very new to me,No,12,-0.558586385,16.66666667,8.333333333,6.95,20.24,98.01,1,12,16.67,100,75,25,8.33,8.33,0,0,0,0,16.67,0,16.67,8.33,8.33,16.67,0,8.33,8.33,0,0,0,0,16.67,0,16.67,8.33,8.33,0,8.33,0,0,0,0,16.67,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,16.67,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i guess i will begin by stating i am a very anxious person,No,13,-0.374422632,7.692307692,23.07692308,24.14,6.21,94.81,1,13,15.38,92.31,61.54,23.08,23.08,23.08,0,0,0,0,0,7.69,7.69,15.38,7.69,0,0,30.77,7.69,0,0,0,0,7.69,0,7.69,7.69,0,0,7.69,0,0,0,0,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i am so excited to finally get the vaccine but i have terrible anxiety about everything in life and this vaccine is no exception haha,No,25,-0.5575,8,8,8.69,5.5,69.14,25.77,25,32,92,64,16,8,8,0,0,0,0,8,4,12,12,12,12,4,16,8,0,0,0,0,16,8,8,4,0,0,4,0,0,0,0,12,0,0,0,0,4,8,0,0,0,0,4,0,4,0,0,8,0,0,0,8,0,0,16,0,8,0,4,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lots of people i am close to live in texas which is very badly hit so i can not call anyone like i normally would when i feel this lonely,No,30,-0.556851267,10,13.33333333,5.51,15.86,65.14,1,30,3.33,96.67,63.33,23.33,13.33,13.33,0,0,0,0,10,0,13.33,13.33,10,6.67,3.33,20,0,3.33,6.67,0,3.33,6.67,0,6.67,0,0,3.33,10,0,0,0,0,20,3.33,0,6.67,6.67,0,3.33,3.33,0,0,3.33,3.33,0,3.33,0,0,0,0,0,0,0,0,0,16.67,0,10,0,6.67,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
